Index,Tweet,Clean Text,Polarity,Subjectivity,Analysis,Label
1533,US sanctions squeeze Iranian economy but conflict shows no signs of ending,us sanctions squeeze iranian economy conflict shows signs ending,-0.17,0.27,Negative,-1
1534,Mass graves discovered in West Bank as evidence of atrocities during Iran conflict emerges #GazaHumanitarian,mass graves discovered west bank evidence atrocities iran conflict emerges,-0.07,0.17,Negative,-1
1535,Iran Supreme Leader delivers speech on regional resistance against Israeli aggression #NoMoreWar,iran supreme leader delivers speech regional resistance israeli aggression,-0.08,0.18,Negative,-1
1536,US special forces casualties reported in covert operation against Iranian assets,us special forces casualties reported covert operation iranian assets,-0.09,0.19,Negative,-1
1537,Iran executes dissidents protesting against the devastating war with Israel #IranIsraelWar,iran executes dissidents protesting devastating war israel,-0.18,0.28,Negative,-1
1538,Hostages taken during Iranian proxy attack in northern Israel still unaccounted for,hostages taken iranian proxy attack northern israel unaccounted,-0.08,0.18,Negative,-1
1539,US deploys additional Patriot missile batteries to protect American forces in region,us deploys additional patriot missile batteries protect american forces region,0.0,0.27,Neutral,0
1540,US Centcom commander visits Israel to assess military situation and coordinate response,us centcom commander visits israel assess military situation coordinate response,0.0,0.1,Neutral,0
1541,China calls for diplomatic solution as Iran-Israel conflict threatens global economy,china calls diplomatic solution iranisrael conflict threatens global economy,-0.09,0.19,Negative,-1
1542,Iran cyber attacks cripple Israeli banking system and power grid infrastructure,iran cyber attacks cripple israeli banking system power grid infrastructure,0.0,0.1,Neutral,0
1543,US warships intercept Iranian attack drones heading toward Israeli coastline,us warships intercept iranian attack drones heading toward israeli coastline,-0.1,0.2,Negative,-1
1544,Iran and Russia hold joint naval exercise in Caspian Sea amid Middle East tensions,iran russia hold joint naval exercise caspian sea amid middle east tensions,0.0,0.1,Neutral,0
1545,Israel and US conduct joint military drill simulating Iranian missile attack scenario,israel us conduct joint military drill simulating iranian missile attack scenario,-0.17,0.27,Negative,-1
1546,Iran and Israel exchange statements at UN General Assembly over ongoing conflict #RefugeeCrisis,iran israel exchange statements un general assembly ongoing conflict,-0.08,0.18,Negative,-1
1547,EU foreign ministers meet in Brussels to discuss Iran-Israel conflict diplomatic response,eu foreign ministers meet brussels discuss iranisrael conflict diplomatic response,-0.08,0.18,Negative,-1
1548,US Treasury Department expands Iran sanctions list to include 38 new entities,us treasury department expands iran sanctions list include new entities,-0.09,0.19,Negative,-1
1549,Iran announces withdrawal from nuclear deal following Israeli attack on Natanz,iran announces withdrawal nuclear deal following israeli attack natanz,-0.18,0.28,Negative,-1
1550,Iran Supreme Leader delivers speech on regional resistance against Israeli aggression,iran supreme leader delivers speech regional resistance israeli aggression,-0.09,0.19,Negative,-1
1551,US coordinates with Gulf states on contingency plans for potential Iran-Israel escalation #IranMissileStrike,us coordinates gulf states contingency plans potential iranisrael escalation,-0.08,0.18,Negative,-1
1552,WHO warns healthcare system collapse in Gaza and Lebanon due to ongoing conflict,who warns healthcare system collapse gaza lebanon due ongoing conflict,-0.15,0.25,Negative,-1
1553,Oil prices hit record high as Iran threatens to blockade Strait of Hormuz,oil prices hit record high iran threatens blockade strait hormuz,-0.08,0.18,Negative,-1
1554,Iran foreign minister meets Russian counterpart to discuss Middle East conflict situation,iran foreign minister meets russian counterpart discuss middle east conflict situation,-0.08,0.18,Negative,-1
1555,Israel updates emergency evacuation protocols for 4600 northern border communities,israel updates emergency evacuation protocols northern border communities,0.0,0.1,Neutral,0
1556,Iran threatens nuclear escalation if Israel continues strikes on its military sites,iran threatens nuclear escalation israel continues strikes military sites,-0.17,0.27,Negative,-1
1557,EU foreign ministers meet in Brussels to discuss Iran-Israel conflict diplomatic response #GazaHumanitarian,eu foreign ministers meet brussels discuss iranisrael conflict diplomatic response,-0.08,0.18,Negative,-1
1558,Iran claims responsibility for missile attack on Israeli military base in Negev desert #HouthiAttack,iran claims responsibility missile attack israeli military base negev desert,-0.14,0.24,Negative,-1
1559,Israel destroys Iranian oil refinery in major escalation of direct military strikes #IranProtest,israel destroys iranian oil refinery major escalation direct military strikes,-0.08,0.18,Negative,-1
1560,Escalating conflict threatens to drag entire Middle East into devastating regional war #IranNuclear,escalating conflict threatens drag entire middle east devastating regional war,-0.23,0.33,Negative,-1
1561,Israeli PM warns of existential threat as Iranian missiles rain down on major cities #CeasefireNow,israeli pm warns existential threat iranian missiles rain down major cities,-0.07,0.17,Negative,-1
1562,Iran test fires ICBM capable of reaching European capitals raising global alarm,iran test fires icbm capable reaching european capitals raising global alarm,0.0,0.1,Neutral,0
1563,Iranian nuclear sites bombed by Israel sparking fears of radioactive contamination,iranian nuclear sites bombed israel sparking fears radioactive contamination,-0.09,0.19,Negative,-1
1564,Oil prices hit record high as Iran threatens to blockade Strait of Hormuz,oil prices hit record high iran threatens blockade strait hormuz,-0.08,0.18,Negative,-1
1565,Iranian missile barrage overwhelms Israeli Iron Dome defense system in latest attack #CeasefireNow,iranian missile barrage overwhelms israeli iron dome defense system latest attack,-0.23,0.33,Negative,-1
1566,Israeli cabinet holds emergency meeting on Iran nuclear program developments,israeli cabinet holds emergency meeting iran nuclear program developments,-0.1,0.2,Negative,-1
1567,Jordan closes airspace to all military aircraft as Iran-Israel conflict intensifies #EndTheWar,jordan closes airspace military aircraft iranisrael conflict intensifies,-0.08,0.18,Negative,-1
1568,Arab League holds emergency summit addressing Iran-Israel-US military confrontation,arab league holds emergency summit addressing iranisraelus military confrontation,0.0,0.1,Neutral,0
1569,Iran cyber attacks cripple Israeli banking system and power grid infrastructure #HezbollahIsrael,iran cyber attacks cripple israeli banking system power grid infrastructure,0.0,0.1,Neutral,0
1570,Death toll rises to 174 after Iranian barrage hits northern Israel overnight,death toll rises iranian barrage hits northern israel overnight,-0.18,0.28,Negative,-1
1571,Iran and Israel exchange statements at UN General Assembly over ongoing conflict #IDF,iran israel exchange statements un general assembly ongoing conflict,-0.08,0.18,Negative,-1
1572,US coordinates with Gulf states on contingency plans for potential Iran-Israel escalation #BidenForeignPolicy,us coordinates gulf states contingency plans potential iranisrael escalation,-0.08,0.18,Negative,-1
1573,Iran confirms deployment of S-400 air defense system purchased from Russia,iran confirms deployment s air defense system purchased russia,0.0,0.1,Neutral,0
1574,Israeli forces destroy Iranian missile launchers in preemptive strike operation,israeli forces destroy iranian missile launchers preemptive strike operation,-0.3,0.4,Negative,-1
1575,Pentagon releases statement on US military posture in eastern Mediterranean region #UNMiddleEast,pentagon releases statement us military posture eastern mediterranean region,0.0,0.1,Neutral,0
1576,Israeli airstrike kills 139 civilians in northern Israel according to emergency services #USMilitary,israeli airstrike kills civilians northern israel according emergency services,0.0,0.1,Neutral,0
1577,US military bases in Middle East hit by Iran-backed drone attacks overnight,us military bases middle east hit iranbacked drone attacks overnight,0.0,0.1,Neutral,0
1578,Iran backs Houthis launching missiles from Yemen targeting Israeli Red Sea shipping,iran backs houthis launching missiles yemen targeting israeli red sea shipping,0.0,0.1,Neutral,0
1579,US Treasury Department expands Iran sanctions list to include 69 new entities,us treasury department expands iran sanctions list include new entities,-0.09,0.19,Negative,-1
1580,Tragic loss of civilian life in Gaza Strip as war crimes allegations mount against all sides,tragic loss civilian life gaza strip war crimes allegations mount sides,-0.12,0.23,Negative,-1
1581,Iran backs militant groups across region creating multi-front war nightmare for Israel #HumanitarianAid,iran backs militant groups across region creating multifront war nightmare israel,-0.08,0.18,Negative,-1
1582,US deploys additional Patriot missile batteries to protect American forces in region,us deploys additional patriot missile batteries protect american forces region,0.0,0.27,Neutral,0
1583,Oil prices hit record high as Iran threatens to blockade Strait of Hormuz,oil prices hit record high iran threatens blockade strait hormuz,-0.08,0.18,Negative,-1
1584,Hostages taken during Iranian proxy attack in northern Israel still unaccounted for #RefugeeCrisis,hostages taken iranian proxy attack northern israel unaccounted,-0.08,0.18,Negative,-1
1585,Hezbollah fires 94 rockets into Tel Aviv wounding dozens of civilians,hezbollah fires rockets tel aviv wounding dozens civilians,0.0,0.1,Neutral,0
1586,UN special envoy travels to Tehran and Jerusalem seeking diplomatic breakthrough #CeasefireNow,un special envoy travels tehran jerusalem seeking diplomatic breakthrough,0.0,0.1,Neutral,0
1587,Diplomatic breakthrough: Iran suspends uranium enrichment in exchange for sanction relief #CeasefireNow,diplomatic breakthrough iran suspends uranium enrichment exchange sanction relief,0.08,0.18,Positive,1
1588,US Treasury Department expands Iran sanctions list to include 10 new entities #IranMissileStrike,us treasury department expands iran sanctions list include new entities,-0.08,0.18,Negative,-1
1589,Arab League holds emergency summit addressing Iran-Israel-US military confrontation,arab league holds emergency summit addressing iranisraelus military confrontation,0.0,0.1,Neutral,0
1590,US military bases in Middle East hit by Iran-backed drone attacks overnight #NetanyahuSpeech,us military bases middle east hit iranbacked drone attacks overnight,0.0,0.1,Neutral,0
1591,Iran and Russia hold joint naval exercise in Caspian Sea amid Middle East tensions,iran russia hold joint naval exercise caspian sea amid middle east tensions,0.0,0.1,Neutral,0
1592,Iran and Russia hold joint naval exercise in Caspian Sea amid Middle East tensions #RefugeeCrisis,iran russia hold joint naval exercise caspian sea amid middle east tensions,0.0,0.1,Neutral,0
1593,Iran backs militant groups across region creating multi-front war nightmare for Israel,iran backs militant groups across region creating multifront war nightmare israel,-0.08,0.18,Negative,-1
1594,Iran foreign minister meets Russian counterpart to discuss Middle East conflict situation #NoMoreWar,iran foreign minister meets russian counterpart discuss middle east conflict situation,-0.08,0.18,Negative,-1
1595,Iran executes dissidents protesting against the devastating war with Israel,iran executes dissidents protesting devastating war israel,-0.2,0.3,Negative,-1
1596,US warships intercept Iranian attack drones heading toward Israeli coastline #IranMissileStrike,us warships intercept iranian attack drones heading toward israeli coastline,-0.09,0.19,Negative,-1
1597,War crimes tribunal called for as evidence mounts of deliberate civilian targeting,war crimes tribunal called evidence mounts deliberate civilian targeting,-0.08,0.18,Negative,-1
1598,Escalating conflict threatens to drag entire Middle East into devastating regional war,escalating conflict threatens drag entire middle east devastating regional war,-0.25,0.35,Negative,-1
1599,Iran activates air defense systems across country after Israeli drone incursions #IsraelUnderAttack,iran activates air defense systems across country israeli drone incursions,0.0,0.1,Neutral,0
1600,Iran announces withdrawal from nuclear deal following Israeli attack on Natanz #HezbollahIsrael,iran announces withdrawal nuclear deal following israeli attack natanz,-0.17,0.27,Negative,-1
1601,Germany extends Iran oil sanctions following missile attacks on Israeli civilians,germany extends iran oil sanctions following missile attacks israeli civilians,-0.18,0.28,Negative,-1
1602,Germany extends Iran oil sanctions following missile attacks on Israeli civilians,germany extends iran oil sanctions following missile attacks israeli civilians,-0.18,0.28,Negative,-1
1603,Iran launches 68 ballistic missiles at Baghdad causing widespread panic and destruction,iran launches ballistic missiles baghdad causing widespread panic destruction,0.0,0.1,Neutral,0
1604,US carrier strike group mobilizes as Iran threatens direct attack on American forces #UNMiddleEast,us carrier strike group mobilizes iran threatens direct attack american forces,-0.14,0.24,Negative,-1
1605,US State Department issues travel warning for Middle East amid ongoing tensions #IsraelIranWar,us state department issues travel warning middle east amid ongoing tensions,0.0,0.1,Neutral,0
1606,Young Iranians and Israelis connect online to show solidarity against warmongering #UNMiddleEast,young iranians israelis connect online show solidarity warmongering,0.08,0.18,Positive,1
1607,Iran claims responsibility for missile attack on Israeli military base in Negev desert,iran claims responsibility missile attack israeli military base negev desert,-0.15,0.25,Negative,-1
1608,Iran threatens nuclear escalation if Israel continues strikes on its military sites,iran threatens nuclear escalation israel continues strikes military sites,-0.17,0.27,Negative,-1
1609,Israel and US conduct joint military drill simulating Iranian missile attack scenario #HezbollahIsrael,israel us conduct joint military drill simulating iranian missile attack scenario,-0.15,0.25,Negative,-1
1610,Death toll rises to 143 after Iranian barrage hits northern Israel overnight #MiddleEastPeace,death toll rises iranian barrage hits northern israel overnight,-0.17,0.27,Negative,-1
1611,Lebanon descends into chaos as Hezbollah and Israeli forces clash in brutal urban combat,lebanon descends chaos hezbollah israeli forces clash brutal urban combat,-0.14,0.24,Negative,-1
1612,Death toll rises to 48 after Iranian barrage hits northern Israel overnight #StopTheWar,death toll rises iranian barrage hits northern israel overnight,-0.17,0.27,Negative,-1
1613,Iranian nuclear sites bombed by Israel sparking fears of radioactive contamination #IranAttacksIsrael,iranian nuclear sites bombed israel sparking fears radioactive contamination,-0.08,0.18,Negative,-1
1614,Iran activates air defense systems across country after Israeli drone incursions #IsraelIranWar,iran activates air defense systems across country israeli drone incursions,0.0,0.1,Neutral,0
1615,Tragic loss of civilian life in Golan Heights as war crimes allegations mount against all sides #IranSanctions,tragic loss civilian life golan heights war crimes allegations mount sides,-0.12,0.22,Negative,-1
1616,War crimes tribunal called for as evidence mounts of deliberate civilian targeting,war crimes tribunal called evidence mounts deliberate civilian targeting,-0.08,0.18,Negative,-1
1617,Grassroots peace movement gains momentum in both Iran and Israel calling for dialogue #USMilitary,grassroots peace movement gains momentum both iran israel calling dialogue,0.07,0.17,Positive,1
1618,US Centcom commander visits Israel to assess military situation and coordinate response,us centcom commander visits israel assess military situation coordinate response,0.0,0.1,Neutral,0
1619,Iran executes dissidents protesting against the devastating war with Israel,iran executes dissidents protesting devastating war israel,-0.2,0.3,Negative,-1
1620,Lebanon descends into chaos as Hezbollah and Israeli forces clash in brutal urban combat #IRGC,lebanon descends chaos hezbollah israeli forces clash brutal urban combat,-0.13,0.23,Negative,-1
1621,Famine threatens Gaza as Iran-Israel blockade cuts off all humanitarian supply routes,famine threatens gaza iranisrael blockade cuts off humanitarian supply routes,0.0,0.27,Neutral,0
1622,Israeli air defense fails to intercept 34 Iranian missiles hitting military bases,israeli air defense fails intercept iranian missiles hitting military bases,0.0,0.1,Neutral,0
1623,US sanctions squeeze Iranian economy but conflict shows no signs of ending #CeasefireNow,us sanctions squeeze iranian economy conflict shows signs ending,-0.15,0.25,Negative,-1
1624,IDF reports 46 rocket interceptions overnight along northern border with Lebanon,idf reports rocket interceptions overnight along northern border lebanon,0.0,0.1,Neutral,0
1625,Israel destroys Iranian oil refinery in major escalation of direct military strikes,israel destroys iranian oil refinery major escalation direct military strikes,-0.08,0.18,Negative,-1
1626,Iran vows devastating retaliation after Israeli strike destroys Natanz nuclear facility #CeasefireNow,iran vows devastating retaliation israeli strike destroys natanz nuclear facility,-0.33,0.43,Negative,-1
1627,Germany extends Iran oil sanctions following missile attacks on Israeli civilians #IsraelUnderAttack,germany extends iran oil sanctions following missile attacks israeli civilians,-0.17,0.27,Negative,-1
1628,Lebanon descends into chaos as Hezbollah and Israeli forces clash in brutal urban combat,lebanon descends chaos hezbollah israeli forces clash brutal urban combat,-0.14,0.24,Negative,-1
1629,Oman confirms role as back-channel mediator between US and Iranian governments #IranThreat,oman confirms role backchannel mediator us iranian governments,0.0,0.1,Neutral,0
1630,Iran-backed militias attack US military bases in Iraq killing American soldiers #StopTheWar,iranbacked militias attack us military bases iraq killing american soldiers,-0.08,0.18,Negative,-1
1631,Iran executes dissidents protesting against the devastating war with Israel,iran executes dissidents protesting devastating war israel,-0.2,0.3,Negative,-1
1632,Horrific scenes as missiles devastate northern Israel residential neighborhoods in latest attack #IranAttacksIsrael,horrific scenes missiles devastate northern israel residential neighborhoods latest attack,-0.08,0.18,Negative,-1
1633,Horrific scenes as missiles devastate Strait of Hormuz region residential neighborhoods in latest attack #HumanitarianAid,horrific scenes missiles devastate strait hormuz region residential neighborhoods latest attack,-0.07,0.17,Negative,-1
1634,Israel destroys Iranian oil refinery in major escalation of direct military strikes,israel destroys iranian oil refinery major escalation direct military strikes,-0.08,0.18,Negative,-1
1635,US aircraft carrier USS Theodore Roosevelt arrives in Persian Gulf for strategic deterrence #IsraeliAirstrike,us aircraft carrier uss theodore roosevelt arrives persian gulf strategic deterrence,0.0,0.1,Neutral,0
1636,Jordan closes airspace to all military aircraft as Iran-Israel conflict intensifies,jordan closes airspace military aircraft iranisrael conflict intensifies,-0.09,0.19,Negative,-1
1637,Escalating conflict threatens to drag entire Middle East into devastating regional war,escalating conflict threatens drag entire middle east devastating regional war,-0.25,0.35,Negative,-1
1638,Explosions rock Beersheba as latest round of Iran-Israel strikes causes mass panic,explosions rock beersheba latest round iranisrael strikes causes mass panic,0.0,0.1,Neutral,0
1639,Explosions rock Baghdad as latest round of Iran-Israel strikes causes mass panic,explosions rock baghdad latest round iranisrael strikes causes mass panic,0.0,0.1,Neutral,0
1640,Civilians in Riyadh describe terror of constant air raid sirens and missile attacks,civilians riyadh describe terror constant air raid sirens missile attacks,-0.15,0.25,Negative,-1
1641,Refugee crisis overwhelms Jordan and Turkey as 144 million flee war zones,refugee crisis overwhelms jordan turkey million flee war zones,-0.27,0.37,Negative,-1
1642,US deploys additional Patriot missile batteries to protect American forces in region #USMilitary,us deploys additional patriot missile batteries protect american forces region,0.0,0.25,Neutral,0
1643,Iranian Revolutionary Guard pledges total war if US intervenes militarily in conflict #NoMoreWar,iranian revolutionary guard pledges total war us intervenes militarily conflict,-0.15,0.25,Negative,-1
1644,Mass displacement crisis: 151 million people fleeing violence in Lebanon and Gaza #HouthiAttack,mass displacement crisis million people fleeing violence lebanon gaza,-0.17,0.27,Negative,-1
1645,IMF warns conflict could reduce global GDP growth by 184 percent this year,imf warns conflict reduce global gdp growth percent year,-0.08,0.18,Negative,-1
1646,Iran backs militant groups across region creating multi-front war nightmare for Israel,iran backs militant groups across region creating multifront war nightmare israel,-0.08,0.18,Negative,-1
1647,Israel confirms limited ground operation inside southern Lebanon against Hezbollah,israel confirms limited ground operation inside southern lebanon hezbollah,0.0,0.1,Neutral,0
1648,US sanctions squeeze Iranian economy but conflict shows no signs of ending #BidenForeignPolicy,us sanctions squeeze iranian economy conflict shows signs ending,-0.15,0.25,Negative,-1
1649,US carrier strike group mobilizes as Iran threatens direct attack on American forces #BidenForeignPolicy,us carrier strike group mobilizes iran threatens direct attack american forces,-0.14,0.24,Negative,-1
1650,Iran claims responsibility for missile attack on Israeli military base in Negev desert #MiddleEastPeace,iran claims responsibility missile attack israeli military base negev desert,-0.14,0.24,Negative,-1
1651,Israel destroys Iranian oil refinery in major escalation of direct military strikes,israel destroys iranian oil refinery major escalation direct military strikes,-0.08,0.18,Negative,-1
1652,Iran-backed militias attack US military bases in Iraq killing American soldiers,iranbacked militias attack us military bases iraq killing american soldiers,-0.09,0.19,Negative,-1
1653,Egypt mediates back-channel talks between Iranian and Israeli representatives,egypt mediates backchannel talks iranian israeli representatives,0.0,0.1,Neutral,0
1654,Ceasefire talks collapse again as Iran refuses all US mediation conditions completely,ceasefire talks collapse again iran refuses us mediation conditions completely,0.0,0.27,Neutral,0
1655,Iran backs militant groups across region creating multi-front war nightmare for Israel #IsraelIranWar,iran backs militant groups across region creating multifront war nightmare israel,-0.08,0.18,Negative,-1
1656,US Treasury Department expands Iran sanctions list to include 49 new entities #IranProtest,us treasury department expands iran sanctions list include new entities,-0.08,0.18,Negative,-1
1657,Egypt mediates back-channel talks between Iranian and Israeli representatives,egypt mediates backchannel talks iranian israeli representatives,0.0,0.1,Neutral,0
1658,Israel updates emergency evacuation protocols for 17200 northern border communities #HumanitarianAid,israel updates emergency evacuation protocols northern border communities,0.0,0.1,Neutral,0
1659,Children among casualties as missiles strike school shelter in northern Israel war zone,children among casualties missiles strike school shelter northern israel war zone,-0.23,0.33,Negative,-1
1660,Israel destroys Iranian oil refinery in major escalation of direct military strikes,israel destroys iranian oil refinery major escalation direct military strikes,-0.08,0.18,Negative,-1
1661,Brave journalists risking lives to document truth of conflict and protect civilians,brave journalists risking lives document truth conflict protect civilians,0.08,0.35,Positive,1
1662,US warships intercept Iranian attack drones heading toward Israeli coastline #EndTheWar,us warships intercept iranian attack drones heading toward israeli coastline,-0.09,0.19,Negative,-1
1663,Iran test fires ICBM capable of reaching European capitals raising global alarm,iran test fires icbm capable reaching european capitals raising global alarm,0.0,0.1,Neutral,0
1664,Ceasefire talks collapse again as Iran refuses all US mediation conditions completely,ceasefire talks collapse again iran refuses us mediation conditions completely,0.0,0.27,Neutral,0
1665,US sanctions squeeze Iranian economy but conflict shows no signs of ending,us sanctions squeeze iranian economy conflict shows signs ending,-0.17,0.27,Negative,-1
1666,Israeli airstrike kills 55 civilians in Strait of Hormuz region according to emergency services #HezbollahIsrael,israeli airstrike kills civilians strait hormuz region according emergency services,0.0,0.1,Neutral,0
1667,Iran backs militant groups across region creating multi-front war nightmare for Israel #RedSeaConflict,iran backs militant groups across region creating multifront war nightmare israel,-0.08,0.18,Negative,-1
1668,US intelligence warns Iran weeks away from nuclear weapon capability amid conflict,us intelligence warns iran weeks away nuclear weapon capability amid conflict,-0.17,0.27,Negative,-1
1669,Death toll rises to 158 after Iranian barrage hits northern Israel overnight,death toll rises iranian barrage hits northern israel overnight,-0.18,0.28,Negative,-1
1670,Iran backs militant groups across region creating multi-front war nightmare for Israel,iran backs militant groups across region creating multifront war nightmare israel,-0.08,0.18,Negative,-1
1671,Russia vetoes third UN Security Council ceasefire resolution on Middle East conflict,russia vetoes third un security council ceasefire resolution middle east conflict,0.0,0.27,Neutral,0
1672,Horrific scenes as missiles devastate Golan Heights residential neighborhoods in latest attack,horrific scenes missiles devastate golan heights residential neighborhoods latest attack,-0.08,0.18,Negative,-1
1673,Israel estimates Iranian missile program has over 109000 projectiles in arsenal,israel estimates iranian missile program projectiles arsenal,-0.1,0.2,Negative,-1
1674,Children among casualties as missiles strike school shelter in Syrian border area war zone #HouthiAttack,children among casualties missiles strike school shelter syrian border area war zone,-0.2,0.3,Negative,-1
1675,Iranian foreign ministry summoned US charge d affaires over naval confrontation,iranian foreign ministry summoned us charge d affaires naval confrontation,0.0,0.1,Neutral,0
1676,Iran executes dissidents protesting against the devastating war with Israel #IranProtest,iran executes dissidents protesting devastating war israel,-0.18,0.28,Negative,-1
1677,Horrific scenes as missiles devastate Negev desert residential neighborhoods in latest attack #StopTheWar,horrific scenes missiles devastate negev desert residential neighborhoods latest attack,-0.08,0.18,Negative,-1
1678,IDF reports 35 rocket interceptions overnight along northern border with Lebanon #BidenForeignPolicy,idf reports rocket interceptions overnight along northern border lebanon,0.0,0.1,Neutral,0
1679,Thousands of Iranian soldiers mobilize near Israeli border threatening ground invasion,thousands iranian soldiers mobilize near israeli border threatening ground invasion,-0.09,0.19,Negative,-1
1680,Turkey offers to host ceasefire negotiations between Iran and Israel in Ankara #IranAttacksIsrael,turkey offers host ceasefire negotiations iran israel ankara,0.08,0.18,Positive,1
1681,Iran and Israel exchange statements at UN General Assembly over ongoing conflict #RefugeeCrisis,iran israel exchange statements un general assembly ongoing conflict,-0.08,0.18,Negative,-1
1682,G20 leaders issue joint statement calling for de-escalation in Middle East crisis #IranProtest,g leaders issue joint statement calling deescalation middle east crisis,-0.08,0.18,Negative,-1
1683,Israeli military spokesperson confirms 173 Iranian drones intercepted this week #IRGC,israeli military spokesperson confirms iranian drones intercepted week,0.0,0.1,Neutral,0
1684,Explosions rock Eilat as latest round of Iran-Israel strikes causes mass panic,explosions rock eilat latest round iranisrael strikes causes mass panic,0.0,0.1,Neutral,0
1685,IDF reports 26 rocket interceptions overnight along northern border with Lebanon,idf reports rocket interceptions overnight along northern border lebanon,0.0,0.1,Neutral,0
1686,Israeli PM warns of existential threat as Iranian missiles rain down on major cities,israeli pm warns existential threat iranian missiles rain down major cities,-0.07,0.17,Negative,-1
1687,Oman confirms role as back-channel mediator between US and Iranian governments,oman confirms role backchannel mediator us iranian governments,0.0,0.1,Neutral,0
1688,Iran claims responsibility for missile attack on Israeli military base in Negev desert,iran claims responsibility missile attack israeli military base negev desert,-0.15,0.25,Negative,-1
1689,Iran launches 59 ballistic missiles at Qom causing widespread panic and destruction,iran launches ballistic missiles qom causing widespread panic destruction,0.0,0.1,Neutral,0
1690,Horrific scenes as missiles devastate Gaza Strip residential neighborhoods in latest attack #IsraelDefense,horrific scenes missiles devastate gaza strip residential neighborhoods latest attack,-0.08,0.18,Negative,-1
1691,Israeli air defense fails to intercept 174 Iranian missiles hitting military bases,israeli air defense fails intercept iranian missiles hitting military bases,0.0,0.1,Neutral,0
1692,Egypt mediates back-channel talks between Iranian and Israeli representatives #EndTheWar,egypt mediates backchannel talks iranian israeli representatives,0.0,0.1,Neutral,0
1693,Iran backs militant groups across region creating multi-front war nightmare for Israel #BidenForeignPolicy,iran backs militant groups across region creating multifront war nightmare israel,-0.08,0.18,Negative,-1
1694,Israeli intelligence warns of imminent Iranian dirty bomb attack on Tel Aviv,israeli intelligence warns imminent iranian dirty bomb attack tel aviv,-0.17,0.27,Negative,-1
1695,Israeli air force conducts practice runs over Mediterranean preparing for Iran strikes #CeasefireNow,israeli air force conducts practice runs mediterranean preparing iran strikes,0.0,0.1,Neutral,0
1696,Germany extends Iran oil sanctions following missile attacks on Israeli civilians #IsraelDefense,germany extends iran oil sanctions following missile attacks israeli civilians,-0.17,0.27,Negative,-1
1697,IAEA inspectors denied access to Iranian nuclear site following Israeli strike on Natanz,iaea inspectors denied access iranian nuclear site following israeli strike natanz,-0.15,0.25,Negative,-1
1698,US intelligence warns Iran weeks away from nuclear weapon capability amid conflict,us intelligence warns iran weeks away nuclear weapon capability amid conflict,-0.17,0.27,Negative,-1
1699,Israel updates emergency evacuation protocols for 15900 northern border communities #PeaceInMiddleEast,israel updates emergency evacuation protocols northern border communities,0.0,0.1,Neutral,0
1700,Iranian missile barrage overwhelms Israeli Iron Dome defense system in latest attack,iranian missile barrage overwhelms israeli iron dome defense system latest attack,-0.25,0.35,Negative,-1
1701,WHO warns healthcare system collapse in Gaza and Lebanon due to ongoing conflict,who warns healthcare system collapse gaza lebanon due ongoing conflict,-0.15,0.25,Negative,-1
1702,Iran backs Houthis launching missiles from Yemen targeting Israeli Red Sea shipping #GazaHumanitarian,iran backs houthis launching missiles yemen targeting israeli red sea shipping,0.0,0.1,Neutral,0
1703,US intelligence warns Iran weeks away from nuclear weapon capability amid conflict,us intelligence warns iran weeks away nuclear weapon capability amid conflict,-0.17,0.27,Negative,-1
1704,US sanctions squeeze Iranian economy but conflict shows no signs of ending #HezbollahIsrael,us sanctions squeeze iranian economy conflict shows signs ending,-0.15,0.25,Negative,-1
1705,Iran claims responsibility for missile attack on Israeli military base in Negev desert #IsraelIranWar,iran claims responsibility missile attack israeli military base negev desert,-0.14,0.24,Negative,-1
1706,Thousands of Iranian soldiers mobilize near Israeli border threatening ground invasion,thousands iranian soldiers mobilize near israeli border threatening ground invasion,-0.09,0.19,Negative,-1
1707,IAEA inspectors denied access to Iranian nuclear site following Israeli strike on Natanz,iaea inspectors denied access iranian nuclear site following israeli strike natanz,-0.15,0.25,Negative,-1
1708,Inspiring solidarity as Tehran residents open homes to refugees fleeing Iran-Israel war,inspiring solidarity tehran residents open homes refugees fleeing iranisrael war,0.0,0.27,Neutral,0
1709,Mass displacement crisis: 108 million people fleeing violence in Lebanon and Gaza #IranMissileStrike,mass displacement crisis million people fleeing violence lebanon gaza,-0.17,0.27,Negative,-1
1710,Hezbollah fires 188 rockets into Tel Aviv wounding dozens of civilians,hezbollah fires rockets tel aviv wounding dozens civilians,0.0,0.1,Neutral,0
1711,Refugee crisis overwhelms Jordan and Turkey as 20 million flee war zones,refugee crisis overwhelms jordan turkey million flee war zones,-0.27,0.37,Negative,-1
1712,Hostages taken during Iranian proxy attack in northern Israel still unaccounted for,hostages taken iranian proxy attack northern israel unaccounted,-0.08,0.18,Negative,-1
1713,Pentagon releases statement on US military posture in eastern Mediterranean region,pentagon releases statement us military posture eastern mediterranean region,0.0,0.1,Neutral,0
1714,Children among casualties as missiles strike school shelter in West Bank war zone,children among casualties missiles strike school shelter west bank war zone,-0.23,0.33,Negative,-1
1715,Hostages taken during Iranian proxy attack in northern Israel still unaccounted for,hostages taken iranian proxy attack northern israel unaccounted,-0.08,0.18,Negative,-1
